node	Africa	Caribbean	Central America	Eastern Asia	Europe	Northern America	Oceania	South America	South-eastern Asia	Southern Asia
n93	8.724905454228184e-13	7.956698842899651e-06	4.806290259132354e-06	1.0475076074286426e-05	8.72021513817319e-06	1.0834055387717967e-05	9.134074566628122e-07	0.9999502092224511	5.212542972016118e-06	8.724905454228187e-07
KY441401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n67	3.117745609931304e-14	2.843280980045873e-07	1.722465085847384e-07	3.743841498951945e-07	3.1160695792999675e-07	3.8714263320016874e-07	3.26396126596273e-08	0.9999982202102651	1.862642874920783e-07	3.117745609931304e-08
n95	7.667827952088124e-13	6.992694432505124e-06	0.0006236195314858038	9.205954327385943e-06	7.663705897276478e-06	9.521441025605195e-06	8.027421544667482e-07	0.9993368461367069	4.581010408163992e-06	7.667827952088123e-07
KY785410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n189	2.2050683680204907e-13	2.010917484937961e-06	0.9999871944784845	2.6473936050210943e-06	2.203882972008321e-06	2.7381193937478814e-06	2.3084781551589277e-07	1.4364734533796538e-06	1.3173797335742523e-06	2.205068368020491e-07
n180	1.9347094882119944e-14	1.76436304404178e-07	0.9999988764537038	2.3228021411708327e-07	1.9336694311573953e-07	2.4024042282629465e-07	2.0254404148590983e-08	1.2603504091408928e-07	1.1558585244285775e-07	1.9347094882119945e-08
n104	1.1144081088264904e-15	1.0162871972117514e-08	0.9999999352321146	1.3379525748398414e-08	1.1138090276608951e-08	1.3888761767026675e-08	1.1666698468253666e-09	7.259718962806338e-09	6.657837365907857e-09	1.114408108826491e-09
n159	4.681101389660146e-13	4.268941847678576e-06	0.99984474347914	7.666064603408882e-05	4.678584933027626e-06	6.284406745218549e-05	4.900628233044486e-07	3.0494645773100673e-06	2.7966425853183525e-06	4.681101389660147e-07
n142	1.1384300323724943e-15	1.0381940490722528e-08	0.9999999338878082	1.3667931712124099e-08	1.1378180375517987e-08	1.413632971780578e-08	1.1918183123129145e-09	7.416207786343029e-09	6.801352168895053e-09	1.1384300323724945e-09
MF801378	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n123	3.654911879952762e-13	3.3331058174411146e-06	0.9999787747838593	4.38806817885143e-06	3.652947080117002e-06	4.53844662871931e-06	3.826314120807068e-07	2.3809619538949726e-06	2.183563515979291e-06	3.654911879952762e-07
n126	2.7307297208076206e-14	2.4902956397408053e-07	0.9999984141574448	3.278499889051945e-07	2.7292619904212737e-07	3.391077539148419e-07	2.8587911375222492e-08	1.778911170820681e-07	1.6314269635504588e-07	2.7307297208076204e-08
n141	5.194422350480172e-13	4.737066151880898e-06	0.999969834365168	6.236396436444669e-06	5.191629943845945e-06	6.450116823332457e-06	5.438022103376949e-07	3.3838632490134982e-06	3.103317262807028e-06	5.194422350480172e-07
n164	5.458907066460431e-13	4.9782636347240305e-06	0.9999682984197206	6.5539354097784225e-06	5.455972478689262e-06	6.7785378104901315e-06	5.714910202661574e-07	3.5561596180695577e-06	3.261329054969882e-06	5.458907066460431e-07
MF801381	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n168	2.8750213003173906e-13	2.621882698162032e-06	0.9999833038523191	3.4517356083577735e-06	2.8734757524179585e-06	3.570026079011872e-06	3.009849473899685e-07	1.8729087205193665e-06	1.7176314574012469e-06	2.8750213003173906e-07
MF801400	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MF801411	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MF801399	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n179	4.1427084930437215e-13	3.7779531303789482e-06	0.9999759419963982	4.973714253493209e-06	4.1404814645313845e-06	5.144162708038841e-06	4.336986643170569e-07	2.6987330015032153e-06	2.474989115979653e-06	4.142708493043722e-07
