node	Australia	Brazil	Cambodia	Canada	Central African Republic	China	Colombia	Cuba	Dominican Republic	Ecuador	El Salvador	French Guiana	French Polynesia	Guatemala	Haiti	Honduras	India	Indonesia	Italy	Jamaica	Japan	Malaysia	Martinique	Mexico	Nicaragua	Nigeria	Panama	Peru	Philippines	Puerto Rico	Russia	Senegal	Singapore	South Korea	Suriname	Taiwan	Thailand	USA	Uganda	United Kingdom	Venezuela	Vietnam
KY553111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MG645981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n22	0.0007391321177614516	0.0010448415960143903	0.8733922720655731	0.0007391277525950725	7.166892103191433e-10	0.0030393770457338124	0.0007643496060734731	0.0022953169307978463	0.002358621867425647	0.0007418094057237628	0.0007391109777435711	0.0007391208697662377	0.0007618928467304149	0.002229356849496682	0.0022593029439253146	0.0008276394215896494	0.0007476696439494724	0.0007392265887033431	0.0029613206551299125	0.0022167978221763187	0.0029540023231386255	0.0007394905998684504	0.0007633384175869289	0.005900571027965238	0.006113809286709112	7.166892103191433e-10	0.001483523165272874	0.0007421569578403972	0.0007602017385837384	0.0007496652527410801	0.0037192997747853332	7.166892103191433e-10	0.0022214853323067317	0.0014967128623520826	0.001501009467755622	0.000739108509063292	0.05901248041307479	0.008829183460698926	7.166892103191433e-10	0.0007391110024795772	0.0014818711711917095	0.0007166893629193654
n33	8.133767280279592e-08	1.1497942225099967e-07	1.0490177254279642e-07	3.075057164131253e-07	7.886794673025761e-14	5.177416061960229e-07	8.411272717256628e-08	2.525877755946839e-07	2.595541569742786e-07	8.163229451797299e-08	8.133534645299176e-08	8.133643501900543e-08	8.388425011568844e-08	2.453292092545165e-07	2.486246223096746e-07	9.107744455190966e-08	8.356139102961364e-08	1.1575587376196978e-07	3.2587804632358804e-07	2.439471531506648e-07	3.250727018774661e-07	8.149009876269489e-08	8.400145110123335e-08	6.493273720479695e-07	6.727931412953895e-07	7.886794673025761e-14	1.632540636683267e-07	8.167054083370655e-08	8.986964832936326e-08	8.24967899159251e-08	4.0928973436199316e-07	7.886794673025761e-14	2.444637646104974e-07	1.6860673377975104e-07	1.6517834096015924e-07	8.133596122813804e-08	0.9999920011207134	9.71606047396741e-07	7.886794673025761e-14	8.133534917506149e-08	1.6307227025032062e-07	7.89320450304938e-08
n6	1.854351888379058e-06	2.6213229544050146e-06	3.716883809763327e-06	1.856183351210461e-06	1.7980465989775727e-12	7.626752974820341e-06	1.917618110949739e-06	5.758544626559826e-06	5.917365527395519e-06	1.8610687308341624e-06	1.8542988518091815e-06	1.8543236691462595e-06	2.0286732603602102e-06	5.5930624368683845e-06	5.668191896702288e-06	2.076401075588071e-06	5.470453762809028e-06	9.816701247448726e-05	7.429430296665584e-06	5.561554056339271e-06	7.4110704513713415e-06	1.8665505452303446e-06	1.9150812177009253e-06	1.4803490154587456e-05	1.533846726933373e-05	1.7980465989775727e-12	3.721897502315566e-06	1.8619406776868346e-06	2.5286372634900573e-06	1.8807776629740582e-06	9.331065982774978e-06	1.7980465989775727e-12	5.575484019439502e-06	4.145164683209005e-06	3.765767545641315e-06	1.8567739339782298e-06	0.9997254639965966	2.2150861300380734e-05	1.7980465989775727e-12	1.8542989138674502e-06	3.7177529410519096e-06	1.977420391302963e-06
J860885	0.001469605290782377	0.002077442855795111	0.8100153552935377	0.0014695965526615332	1.4249823949222233e-09	0.0060431476923598045	0.0015197448441220697	0.004563744186545491	0.004689612441442338	0.0014749285022351113	0.001469563258402256	0.0014695829265623953	0.0015148600005311362	0.004432596747364784	0.004492138117240408	0.001645583033939754	0.0014865770789256084	0.0014697061296524473	0.0058879493907834715	0.004407625821932656	0.005873398461178322	0.001469911528002784	0.0015177343132385041	0.011732016770692646	0.012155995198522628	1.4249823949222233e-09	0.0029496668326174304	0.001475619534889712	0.0014891399716637946	0.001490548164894611	0.0073950278924211224	1.4249823949222233e-09	0.004416945925976404	0.0029618538828872867	0.0029844345852658963	0.001469558347721066	0.05562292178975326	0.017554932894039105	1.4249823949222233e-09	0.0014695633075844856	0.0029463821975925157	0.001424982536312045
KU955593	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n4	8.614142652692986e-07	1.2177003733505973e-06	8.621824284134608e-07	7.355018628138352e-05	8.352583992740905e-13	3.5482513530132904e-06	8.908037392810989e-07	2.6750545673642852e-06	2.748832683837308e-06	8.645344842227833e-07	8.613896278431432e-07	8.614011564037789e-07	8.879417973102803e-07	2.598182038616342e-06	2.633082420172013e-06	9.645642330031317e-07	8.714030058324768e-07	8.625629848264219e-07	3.451242064938679e-06	2.5835452436081195e-06	3.4427129868221585e-06	8.613909362733183e-07	8.896252595935656e-07	6.8767625361998214e-06	7.125278969959288e-06	8.352583992740905e-13	1.7289574985509654e-06	8.649395354226961e-07	8.617095174107251e-07	8.736900039517669e-07	4.33462138340874e-06	8.352583992740905e-13	2.5890082796377385e-06	1.7290970080861575e-06	1.7493367379906922e-06	8.613867775016924e-07	0.9998477036369885	1.0289885124678676e-05	8.352583992740905e-13	8.613896566714786e-07	1.727032198278579e-06	8.352605114575785e-07
n5	4.94840704465623e-07	6.995097885783036e-07	4.959725571760966e-07	5.057469718191189e-07	4.798154283855584e-13	2.5150814041313827e-05	5.117235314749098e-07	1.5366890704842197e-06	1.5790710191024538e-06	4.966331188790838e-07	4.948265514595649e-07	4.948331740583497e-07	5.100807121937683e-07	1.4925295321373662e-06	1.512578108172647e-06	5.540953566776561e-07	5.006163954969154e-07	4.965091894302146e-07	1.982571131628223e-06	1.4841214034993718e-06	1.9776715900385737e-06	4.94831848702098e-07	5.110465520675684e-07	3.950366455554455e-06	4.093127090142244e-06	4.798154283855584e-13	9.932022037116058e-07	4.968658011426482e-07	4.952603069426964e-07	5.018925207895255e-07	2.490029693537955e-06	4.798154283855584e-13	1.48725967538571e-06	9.93439310062411e-07	1.0049090880846843e-06	4.94824940061052e-07	0.9999311437275489	5.9110397972971765e-06	4.798154283855584e-13	4.94826568020045e-07	9.920962121097628e-07	4.798185201636371e-07
KU179098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
